"kemendagri_kode
_provinsi
";"kemendagri_nama
_provinsi
";"kemendagri_kode_
kabupaten_kota
kemendagri_kode_
kabupaten_kota
";"kemendagri_nama_
kabupaten_kota
";tahun;Nama_Sungai;Tahap;Lokasi_Sampling;Lintang_Selatan;Bujur_Timur;pH;Suhu_(0C);DHL_(µS/cm);Salinitas_(ppt);Do_(mg/L);TDS_(mg/L);TSS_(mg/L);BOD_(mg/L);COD_(mg/L);Nitrat_(mg/L);Nitrit_(mg/L);Fenol_(µg/L);Sulfida_(mg/L);Sianida_(mg/L);Phospat_(mg/L);MBAS_(µg/L);M&L_(µg/L);NH3N_(mg/L);Klorin_(mg/L);EColi_(MPN/100ml);Coliform_(MPN/100ml);Mercury_(mg/L);Nilai_IP;Status_MutuAir
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Krueng Teunom;II;Titik III - Desa Timpleung Kec. Pasie Raya;04o 28’37,35”;095o 52’13,77” ;7.43;25.1;148.5;0.12;4.82;60.01;44;2.05;32.08;3.54;<0.03;<1;<0.01;0.01;0,2387;86,93;411,6;0,117;0,05;467;2504;<0,00019;2,155;Cemar Ringan
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Krueng Teunom;II;Titik IV - Jembatan Besi Desa Paya Baro Kec. Teunom;04o 26’08,05”;0950 49’38,01”;7;24.3;231;0.1;4.98;57.51;53;2.35;17.97;2.74;<0.03;<1;<0.01;0.019;0,1815;128,84;417,2;0,171;0,02;808;2504;<0,00019;2,237;Cemar Ringan
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Krueng Teunom;II;Titik V - Desa Alue Ambang Kec. Teunom;04o 26’45,06”;095o 48’30,07”;6.91;24.4;161.8;0.19;2.97;105.5;47;2.4;41.06;5.47;<0.03;<1;<0.01;0.007;0,2579;112,67;420;0,105;0,03;957;2667;<0,00019;2,722;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;I;Titik I - Belakang Pasantren Arraudhatul Awwaliah Desa Drin Mangko Kec. Woyla;04o 24’ 30,3”;096o 03’ 22,1”;7.1;29.4;148.4;0.02;5.78;74.82;23;2.2;22.5;1.84;<0.03;0.1;<0.02;0.019;0,04;95,51;438,8;0,09;0,02;648;2427;;3,767;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;I;Titik II - Jembatan Kuala Bhee Desa Kuala Bhee Kec. Woyla;04o 23’ 19,8”;096o 02’ 43,0”;6.8;29.3;142.7;0.03;5.86;72.08;25;2.31;12.5;2.54;<0.03;0.1;<0.02;0.02;0,16;129,84;448,4;0,08;0,02;231;2419;;3,759;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;5;Krueng Woyla;I;Titik III - Jembatan Rangka Baja Desa Ranto Panyang Kec. Woyla Barat;04o 20' 42,9”;096o 01’ 30,3” ;6.83;29.1;142.1;0.03;5.65;71.51;26;3.41;8.75;2.17;0.03;0.1;<0.02;0.016;0,18;215,66;443,2;0,14;0,01;179;2436;;5,373;Cemar Sedang
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;I;Titik IV - Jembatan Gantung Desa Lhok Male Kec. Woyla Barat;04o 19’ 48,0”;0960 59’ 45,4”;6.17;28.9;140.7;0.04;5.4;70.79;24;3.27;5;1.95;0.03;0.1;<0.02;0.02;0,15;86,93;424;0,12;0,04;285;2428;;3,758;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;I;Titik V - Jembatan Arongan Lambalek Desa Peuribu Kec. Arongan Lambalek;04o 17’ 30,2”;096o 58’ 45,7”;7.65;29;148.6;0.1;5.9;76.62;28;2.67;5;2.44;0.04;0.1;<0.02;0.018;0,17;61,18;431,2;0,09;0,03;275;2427;;3,759;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;II;Titik I - Belakang Pasantren Arraudhatul Awwaliah Desa Drin Mangko Kec. Woyla;04o 24’ 30,3”;096o 03’ 22,1”;7.34;26.1;106.1;0.099;5.31;53.39;24;2.25;75.07;4.834;0.04;<1;<0.01;0.0113;0,26;9,63;408,8;0,135;0,03;663;2310;;3,767;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;II;Titik II - Jembatan Kuala Bhee Desa Kuala Bhee Kec. Woyla;04o 23’ 19,8”;096o 02’ 43,0”;7.32;25.9;103.4;0.098;5.31;52.14;33;2.36;34.65;4.217;0.04;<1;<0.01;0.0096;0,29;18,27;407,2;0,114;0,02;259;2495;;3,759;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;II;Titik III - Jembatan Rangka Baja Desa Ranto Panyang Kec. Woyla Barat;04o 20' 42,9”;096o 01’ 30,3” ;7.49;26.7;103;0.098;5.09;51.74;39;2.4;15.39;4.57;2.4;<1;<0.01;0.098;0,27;9,68;416,8;0,084;0,02;179;2427;;5,373;Cemar Sedang
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;II;Titik IV - Jembatan Gantung Desa Lhok Male Kec. Woyla Barat;04o 19’ 48,0”;0960 59’ 45,4”;7.54;26.9;108.1;0.102;5.43;54.49;35;2.33;16.68;4.425;0.05;<1;<0.01;0.007;0,25;44,01;410,8;0,113;0,01;388;2584;;3,758;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Woyla;II;Titik V - Jembatan Arongan Lambalek Desa Peuribu Kec. Arongan Lambalek;04o 17’ 30,2”;096o 58’ 45,7”;7.2;26.9;113.7;0.108;5.32;57.49;52;2.48;32.08;3.656;0.04;<1;<0.01;0.0163;0,25;26,85;417,2;0,201;0,01;408;2198;;3,759;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;I;Titik I - Jembatan Gantung Desa Ketambang Kec. Pante Ceureumen;04o 26’ 32,7”;096o 18’ 25,3”;6.95;26.8;170.4;0.157;6.69;159.1;23;2.38;<3.2234;3.97;<0.03;<1;<0.001;0.0192;0,32;9,68;423,6;0,116;0,03;168;1780;;2,73;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;I;Titik II - Jembatan Rangka Baja Desa Sawang Teubee Kec. Kaway XVI;04o 18’ 58,9”;096o 12’ 09,3”;6.96;28.6;101.8;0.093;5.38;94.8;25;2.08;7.69;3.85;<0.03;<1;<0.001;0.0166;0,2;86,93;443,6;0,096;0,01;284;1904;;2,239;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;I;Titik III - Intake PDAM Desa Gunong Beurghang Kec. Kaway XVI;04o 14' 14,2”;096o 10’ 44,5” ;7;27.4;74.73;0.069;4.78;69.15;38;2.01;24.38;3.99;<0.03;<1;<0.001;0.0163;0,23;78,34;422,4;0,125;0,04;563;2035;;2,462;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;I;Titik IV - Dekat Tanggul Desa Pasie Aceh Tunong Kec. Meureubo;04o 11’ 21,8”;0960 09’ 53,4”;6.89;27.4;65.56;0.065;5.2;60.83;28;2.3;<3.2234;4.13;<0.03;<1;<0.001;0.023;0,23;112,67;442,8;0,117;0,02;620;2400;;2,341;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;I;Titik V - Jembatan Besi Desa Pasie Pinang Kec. Meureubo;04o 09’ 15,4”;096o 08’ 29,4”;6.94;26.6;71.07;0.067;4.82;66.04;53;2.45;20.53;3.97;<0.03;<1;<0.001;0.0251;0,27;121,26;462,8;0,115;0,02;437;2700;;2,389;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;II;Titik I - Jembatan Gantung Desa Ketambang Kec. Pante Ceureumen;04o 26’ 32,7”;096o 18’ 25,3”;8.17;25.7;157.3;0.147;5.47;7953;9;2.33;57.1;4.65;<0.03;<1;<0.01;0.0169;<0,07;26,58;410,8;0,08;0,02;218;1904;;2,73;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;II;Titik II - Jembatan Rangka Baja Desa Sawang Teubee Kec. Kaway XVI;04o 18’ 58,9”;096o 12’ 09,3”;7.67;27.2;130.5;0.124;5.47;6605;34;2.44;14.12;4.8;<0.03;<1;<0.01;0.0216;0,15;52,6;409,2;0,08;0,02;426;1118;;2,239;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;II;Titik III - Intake PDAM Desa Gunong Beurghang Kec. Kaway XVI;04o 14' 14,2”;096o 10’ 44,5” ;7.58;28;131.8;0.122;5.38;6610;15;2.48;20.53;4.52;0.03;<1;<0.01;0.0157;<0,07;26,85;411,6;0,13;0,03;327;1203;;2,462;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;II;Titik IV - Dekat Tanggul Desa Pasie Aceh Tunong Kec. Meureubo;04o 11’ 21,8”;0960 09’ 53,4”;7.5;28;126.7;0.118;5.17;6440;50;2.36;33.36;5.03;0.03;<1;<0.01;0.0186;0,1;44,1;415,6;0,11;0,01;569;1552;;2,341;Cemar Ringan
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Krueng Meureubo;II;Titik V - Jembatan Besi Desa Pasie Pinang Kec. Meureubo;04o 09’ 15,4”;096o 08’ 29,4”;7.45;28.2;111.3;0.105;4.96;5634;55;4.96;89.83;4.94;<0.03;<1;<0.01;0.0192;0,29;69,76;417,2;0,07;0,01;454;1892;;2,389;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;I;Titik I - Desa Gunung Cut Kec. Darul Makmur;04o 00’ 24,8”;096o 31’ 30,7”;8.12;25.1;155.1;0.07;6.26;78.06;25;2.94;21.25;2.97;<0.03;0.1;<0.02;0.015;0,19;61,18;430,8;<0,03;0,01;162;2400;;2,75;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;I;Titik II - Jembatan Besi Desa Lamie Kec. Darul Makmur;03o 59’ 30,7”;096o 29’ 20,4”;7.49;25.4;153.6;0.07;5.5;77.28;26;2.48;15;3.09;0.03;0.1;<0.02;0.011;0,21;69,76;437,2;0,05;0,01;436;2411;;2,552;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;I;Titik III - Desa Mon Dua Kec. Tripa;03o 58' 10,1”;096o 27’ 19,3” ;7.48;25.9;154;0.08;5.06;77.39;41;2.4;25;3.3;0.03;0.1;<0.02;0.011;0,1;86,93;446,4;0,07;0,04;156;2402;;2,971;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;I;Titik IV - Desa Neubok Yee Kec. Tripa;03o 57’ 03,1”;096o 25’ 50,7”;7.19;27.3;180.6;0.08;5.99;91.09;51;2.79;26.25;3.31;0.03;0.1;<0.02;0.013;0,2;91,22;441,6;0,11;0,02;138;2427;;2,615;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;I;Titik V - Desa Drien Tujuh Kec. Tripa;03o 54’ 19,0”;096o 24’ 31,4”;7.13;27.9;155.5;0.09;5.56;78.28;43;2.83;12.5;2.93;0.03;0.1;<0.02;0.018;0,2;95,51;457,6;0,11;0,03;142;2436;;2,678;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;II;Titik I - Desa Gunung Cut Kec. Darul Makmur;04o 00’ 24,8”;096o 31’ 30,7”;7.61;26.1;141.6;0.07;5.1;71.41;26;2.75;20.53;2.17;0.03;<1;<0.001;0.0157;0,116;112,67;429,6;0,115;0,04;193;2224;;2,75;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;II;Titik II - Jembatan Besi Desa Lamie Kec. Darul Makmur;03o 59’ 30,7”;096o 29’ 20,4”;7.26;26.1;127.5;0.07;5.93;64.54;29;2.9;17.96;2.25;<0.03;<1;<0.001;0.0166;0,201;198,5;435,6;0,059;0,02;405;2402;;2,552;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;II;Titik III - Desa Mon Dua Kec. Tripa;03o 58' 10,1”;096o 27’ 19,3” ;7.14;26.2;128.9;0.07;4.49;65.28;42;2.48;43.63;2.13;<0.03;<1;<0.001;0.0172;0,164;129,84;433,2;0,24;0,05;609;2318;;2,971;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;II;Titik IV - Desa Neubok Yee Kec. Tripa;03o 57’ 03,1”;096o 25’ 50,7”;7.15;26.3;136;0.07;4.7;68.99;53;2.63;23.09;2.12;<0.03;<1;<0.001;0.0216;0,154;147;469,6;0,181;0,02;395;2894;;2,615;Cemar Ringan
11;Aceh;11.71;Kota Banda Aceh;2020;Krueng Tripa;II;Titik V - Desa Drien Tujuh Kec. Tripa;03o 54’ 19,0”;096o 24’ 31,4”;7.12;26;129.8;0.07;4.93;66.38;44;2.4;10.27;2.13;<0.03;<1;<0.001;0.0201;0,237;207,08;450,8;0,093;0,02;616;2513;;2,678;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;I;Titik I - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji;03o 37’ 2,01”;096o 58’ 54,03”;7.28;23.1;102.6;0.01;5.59;7.74;18;2.03;18.75;5.47;<0.03;0.1;<0.02;0.016;0,08;35,43;429,6;0,21;0,03;1880;2402;;2,846;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;I;Titik II - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji;03o 37’ 7,08”;096o 58’ 26,07”;7.26;24.1;104;0.01;5.29;76.2;16;2.11;13.75;6.81;<0.03;0.1;<0.02;0.014;0,24;26,85;433,2;0,18;0,02;578;2411;;2,663;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;I;Titik III - Jln. Guru Ceh Breh Desa Alu Trienggadeng Kec. Lembah Sabil;03o 36’ 50,7”;096o 57’ 49,0” ;7.68;27.6;106.7;0.03;6.24;78.3;29;2.24;8.75;5.16;<0.03;0.1;<0.02;0.011;0,08;44,01;422,4;0,11;0,05;384;2427;;2,636;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;I;Titik IV - Dekat Jembatan Krueng Baru Desa Krueng Baru Kec. Labuhan Barat;03o 36’4,06”;0960 57’25,09”;7.75;25.4;108.5;0.05;6.18;80.2;35;2.3;5;7.36;<0.03;0.1;<0.02;0.019;0,22;69,76;427,2;0,11;0,01;1205;2400;;4,304;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;I;Titik V - Desa Meunasah Tengah Kec. Lembah Sabil;03o 35’ 48,07”;096o 57’ 7,06”;8.16;28.4;109.8;0.07;6.5;80.5;37;2.28;17.5;6.57;<0.03;0.1;<0.02;0.018;0,22;78,34;432,4;0,08;0,01;579;2411;;2,615;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;II;Titik I - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji;03o 37’ 2,01”;096o 58’ 54,03”;8.36;21.6;71.32;0.04;6.01;36;18;2.44;<3.22;4.06;0.03;<1;<0.001;0.0195;0,3;<25;410,8;0,22;0,03;1047;1904;;2,846;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;II;Titik II - Jln. Alur Balok Desa Panton Pawoh Kec. Labuhan Haji;03o 37’ 7,08”;096o 58’ 26,07”;7.67;25.5;68.41;0.4;7.69;34.4;16;2.71;<3.22;4.05;0.03;<1;<0.001;0.0169;0,24;44,01;416,8;0,24;0,01;569;2035;;2,663;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;II;Titik III - Jln. Guru Ceh Breh Desa Alu Trienggadeng Kec. Lembah Sabil;03o 36’ 50,7”;096o 57’ 49,0” ;7.58;23.3;75.27;0.04;6.11;37.8;30;2.55;<3.22;4.23;<0.03;<1;<0.001;0.0183;0,23;26,85;413,2;0,21;0,01;710;2224;;2,636;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;II;Titik IV - Dekat Jembatan Krueng Baru Desa Krueng Baru Kec. Labuhan Barat;03o 36’4,06”;0960 57’25,09”;7.63;22.4;73.98;0.06;5.88;37.2;38;2.13;<3.22;4.39;<0.03;<1;<0.001;0.0201;2,05;<25;417,6;0,17;0,02;935;2400;;4,304;Cemar Ringan
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Krueng Baru;II;Titik V - Desa Meunasah Tengah Kec. Lembah Sabil;03o 35’ 48,07”;096o 57’ 7,06”;7.48;25.4;74.56;0.07;6.11;37.5;33;2.32;<3.22;4.44;<0.03;<1;<0.001;0.0221;0,21;44,01;420,4;0,26;0,02;780;2595;;2,615;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik I - Desa Toweren Kec. Lut Tawar (Inlet Danau);04o 36’ 05,4”;096o 53’ 33,4”;6.93;20.2;130.8;0.07;5.29;66.54;26;2.17;35.93;4.55;<0.03;0.1;<0.02;0.018;0,09;164,17;431,6;0,064;0,01;432;4611;;3,764;Kondisi Baik
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik II - Desa Pante Menye Kec. Bintang (Alur Masuk ke Danau);04o 35’ 36,3”;096o 59’ 47,8”;7.72;26.6;153.8;0.08;5.64;77.61;22;2.33;10.3;4.5;<0.03;0.1;<0.02;0.017;0,13;95,51;440,4;0,112;0,02;201;528;;3,764;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik III - Mata Air Desa Kelitu Kec. Bintang (Alur yang Mengalir ke Danau);04o 37' 50,3”;096o 56’ 57,6” ;7.04;18;242;0.12;5.18;123;21;2.44;12.83;5.28;<0.03;0.1;<0.02;0.018;0,3;9,68;489,6;0,068;0,01;102;318;;3,756;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik IV - Intake PDAM Desa Mendale Kec. Kebayakan (Pemanfaatan Air);04o 38’ 30,0”;0960 51’ 55,6”;7.59;26.5;147;0.08;5.05;75.08;24;2.64;5.13;4.45;<0.03;0.1;<0.02;0.019;0,09;52,6;471,6;0,087;0,02;106;683;;3,765;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik V - Tengah Danau Desa Dedalu Kec. Lut Tawar;04o 37’ 01,6”;0960 51’ 19,0”;7.06;25.4;157.4;0.08;4.63;79.48;29;2.35;5.13;4.5;<0.03;0.1;<0.02;0.018;0,26;26,85;443,6;0,084;0,04;110;331;;3,77;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;I;Titik VI - Desa Balee Bawah Kec. Lut Tawar (Outlet Danau);04o 37’ 01,8”;096o 50’ 57,9”;7.75;24.7;160;0.08;5.7;80.66;24;2.05;25.67;4.64;<0.03;0.1;<0.02;0.019;0,47;61,18;459,2;0,184;0,02;1296;14136;;3,788;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik I Desa Toweren Kec. Lut Tawar (Inlet Danau);04o 36’ 05,4”;096o 53’ 33,4”;6.99;21.6;136.3;0.07;7.43;68.57;30;2.98;36.57;3.62;<0.03;<1;<0.01;0.0166;0,1936;9,68;411,6;0,115;0,02;935;3255;;3,764;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik II - Desa Pante Menye Kec. Bintang (Alur Masuk ke Danau);04o 35’ 36,3”;096o 59’ 47,8”;6.98;25.5;164.4;0.08;5.55;83.17;32;2.4;62.88;3.88;<0.03;<1;<0.01;0.0207;0,1825;52,6;413,6;0,152;0,02;958;1674;;3,764;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik III - Mata Air Desa Kelitu Kec. Bintang (Alur yang Mengalir ke Danau);04o 37' 50,3”;096o 56’ 57,6” ;6.99;18.2;240.6;0.12;6.52;121.2;26;3.02;28.23;4.86;<0.03;<1;<0.01;0.0172;0,199;9,68;421,2;0,107;0,01;867;1682;;3,756;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik IV - Intake PDAM Desa Mendale Kec. Kebayakan (Pemanfaatan Air);04o 38’ 30,0”;0960 51’ 55,6”;6.99;23.1;194.7;0.1;3.09;96.5;27;2.9;57.75;4.36;<0.03;<1;<0.01;0.0157;0,1975;<25;428,8;0,113;0,03;598;1430;;3,765;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik V - Tengah Danau Desa Dedalu Kec. Lut Tawar;04o 37’ 01,6”;0960 51’ 19,0”;7;23.2;167.5;0.09;4.74;86.04;22;2.52;43.63;4.42;<0.03;<1;<0.01;0.0192;0,208;44,01;418,8;0,182;0,05;616;1110;;3,77;Cemar Ringan
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Danau Laut Tawar;II;Titik VI - Desa Balee Bawah Kec. Lut Tawar (Outlet Danau);04o 37’ 01,8”;096o 50’ 57,9”;7;23;171.7;0.09;4.21;86.65;30;2.05;44.91;4.15;0.03;<1;<0.01;0.0183;0,2776;9,68;433,2;0,173;0,02;889;2075;;3,788;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;I;Titik I - Inlet Danau (Saluran Sumber Air Gunung) Lingkungan Putro Ijo Desa Aneuk Laot Kec. Suka Karya;05o 52’ 12,4”;095o 19’ 56,5”;7.06;29.9;569.8;0.24;5.31;526.4;21;24.822;69.29;4.36;<0.03;<1;<0.001;0.0245;0,82;164,17;431,6;0,192;0,03;26,6;2419,6;;3,105;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;I;Titik II - Tengah Danau Lingkungan Putro Ijo Gampong Danau Aneuk Laot Kec. Suka Karya;05o 52’ 07,11”;095o 19’ 52,9”;7.14;30.8;251.3;0.12;5.55;234.5;24;20.168;47;5.668;<0.03;<1;<0.001;0.0192;0,31;198,5;448,8;0,302;0,01;10,7;86,9;;2,504;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;I;Titik III - Intake PDAM/Pemanfaatan Air Desa Aneuk Laot Kec. Suka Karya;05o 52’11,24”;095o 19’32,46” ;7.07;29.3;260.2;0.11;6.16;240.1;18;2.327;20.53;4.879;<0.03;<1;<0.001;0.0186;0,19;189,92;436,4;0,146;0,01;15,5;259,5;;2,024;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;I;Titik IV - Komplek Mata Air & Swembat Desa Aneuk Laot Kec. Suka Karya;05o 52’ 42,2”;0950 19’ 36,8”;6.88;28.7;529.9;0.25;5.79;489.8;17;20.943;21.82;4.476;<0.03;<1;<0.001;0.0175;0,34;172,75;456,4;0,003;0,04;3;33,2;;2,42;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;I;Titik V - Outlet Danau (Air Alur) Desa Pasiran Kec. Suka Karya;05o 52’ 52,7”;095o 19’ 28,8”;7.09;29;540.7;0.25;3.27;498.1;28;31.415;43.63;4.701;0.03;<1;<0.001;0.0169;0,58;198,5;450,8;0,279;0,02;69,5;410,6;;2,842;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;II;Titik I - Inlet Danau (Saluran Sumber Air Gunung) Lingkungan Putro Ijo Desa Aneuk Laot Kec. Suka Karya;05o 52’ 12,4”;095o 19’ 56,5”;6.96;29.6;468.1;0.22;3.73;242.6;26;2.17;25.02;4.03;<0.03;<1;<0.01;0.0169;0,2676;215,66;407,6;0,109;0,04;156,5;2419,6;;3,105;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;II;Titik II - Tengah Danau Lingkungan Putro Ijo Gampong Danau Aneuk Laot Kec. Suka Karya;05o 52’ 07,1”;095o 19’ 52,9”;6.99;28.7;256.6;0.12;7.14;126.8;28;1.51;80.84;3.89;<0.03;<1;<0.01;0.0154;0,2838;129,84;411,2;0,113;0,02;14,5;66,3;;2,504;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;II;Titik III - Intake PDAM/Pemanfaatan Air Desa Aneuk Laot Kec. Suka Karya;05o 52’11,24”;095o 19’32,46” ;6.97;29.3;254.1;0.12;5.1;124.9;19;1.98;89.83;4.04;0.03;<1;<0.01;0.0204;0,2762;44,01;0,096;0,096;0,02;32,8;228,2;;2,024;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;II;Titik IV - Komplek Mata Air & Swembat Desa Aneuk Laot Kec. Suka Karya;05o 52’ 42,2”;0950 19’ 36,8”;6.97;29.1;526.8;0.24;3.58;242.9;18;2.02;20.53;4.23;<0.03;<1;<0.01;0.0239;0,1185;61,18;422,8;0,124;0,06;10,8;79,4;;2,42;Cemar Ringan
11;Aceh;11.72;Kota Sabang;2020;Danau Aneuk Laot;II;Titik V - Outlet Danau (Air Alur) Desa Pasiran Kec. Suka Karya;05o 52’ 52,7”;095o 19’ 28,8”;6.97;29.4;556.3;0.26;2.06;267.3;31;2.06;59.03;3.97;0.036;<1;<0.01;0.0137;0,2015;198,5;417,6;0,15;0,03;77,1;328,2;;2,842;Cemar Ringan
